"cm","Number_of_terms","Rank"
"Madhav Singh Solanki",4,5
"Madhu Koda",1,8
"Mahamaya Prasad Sinha",1,8
"Mahbooba Mufti",1,8
"Mahendra Mohan Choudhry",1,8
"Mairembam Koireng Singh",3,6
"Mamata Banerjee",3,6
"Manik Saha",1,8
"Manik Sarkar",4,5
"Manohar Joshi",1,8
"Manohar Lal Khattar",2,7
"Manohar Parrikar",4,5
"Marotrao Kannamwar",1,8
"Marri Chenna Reddy",2,7
"Mayawati",4,5
"Mishrilal Gangwal",1,8
"Mohammed Alimuddin",2,7
"Mohan Charan Majhi",1,8
"Mohan Lal Sukhadia",4,5
"Mohan Yadav",1,8
"Morarji Desai",1,8
"Motilal Vora",2,7
"Mufti Mohammad Sayeed",2,7
"Mukul Sangma",2,7
"Mukut Mithi",1,8
"Mulayam Singh Yadav",3,6
"N. Biren Singh",2,7
"N. Chandrababu Naidu",4,5
"N. D. Tiwari",4,5
"N. Janardhana Reddy",1,8
"N. Kiran Kumar Reddy",1,8
"N. Rangaswamy",5,4
"N. T. Rama Rao",3,6
"Nabakrushna Choudhury",1,8
"Nabam Tuki",2,7
"Nadendla Bhaskara Rao",1,8
"Nandini Satpathy",2,7
"Nar Bahadur Bhandari",3,6
"Narayan Datt Tiwari",1,8
"Narayan Rane",1,8
"Narendra Modi",4,5
"Naveen Patnaik",5,4
"Nayab Singh Saini",2,7
"Neelam Sanjiva Reddy",2,7
"Neiphiu Rio",5,4
"Nilamani Routray",1,8
"Nitish Kumar",10,1
"Nityanand Swami",1,8
"Nripen Chakraborty",2,7
"O. Panneerselvam",3,6
"Okram Ibobi Singh",3,6
"Om Prakash Chautala",5,4
"Omar Abdullah",2,7
"Oommen Chandy",2,7
"P Govinda Menon",1,8
"P. A. Sangma",1,8
"P. K. Sawant",1,8
"P. K. Vasudevan Nair",1,8
"P. Shanmugam",2,7
"P. Shilu Ao",1,8
"P. V. Narasimha Rao",1,8
"Parkash Singh Badal",5,4
"Pattom A Thanu Pillai",1,8
"Pattom A. Thanu Pillai",1,8
"Pawan Kumar Chamling",5,4
"Pema Khandu",5,4
"Pinarayi Vijayan",2,7
"Prafulla Chandra Ghosh",1,8
"Prafulla Chandra Sen",1,8
"Prafulla Kumar Das",1,8
"Prafulla Kumar Mahanta",2,7
"Prakash Chandra Sethi",2,7
"Pramod Sawant",2,7
"Pratap Singh Karaon",3,6
"Pratapsingh Rane",7,2
"Prem Khandu Thungan",1,8
"Prem Kumar Dhumal",2,7
"Prem Singh Tamang",2,7
"Prithviraj Chavan",1,8
"Pt. Ravishankar Shukla",1,8
"Pushkar Singh Dhami",2,7
"R. Gundu Rao",1,8
"R. Sankar",1,8
"R. V. Janakiraman",1,8
"RASIKLAL PARIKH",1,8
"Rabri Devi",3,6
"Radhabinod Koijam",1,8
"Radhika Ranjan Gupta",1,8
"Raghbir Singh",2,7
"Raghubar Das",1,8
"Raja Nareshchandra Singh",1,8
"Rajendra Narayan Singh Deo",1,8
"Rajinder Kaur Bhattal",1,8
"Rajkumar Dorendra Singh",3,6
"Rajkumar Jaichandra Singh",1,8
"Rajkumar Ranbir Singh",1,8
"Rajnath Singh",1,8
"Ram Kishan",1,8
"Ram Naresh Yadav",1,8
"Ram Prakash Gupta",1,8
"Ram Sundar Das",1,8
"Ramakrishna Hegde",3,6
"Raman Singh",3,6
"Ramesh Pokhriyal",1,8
"Rao Birender Singh",1,8
"Ravi Naik",2,7
"Rekha Gupta",1,8
"Revanth Reddy",1,8
"Rishang Keishing",4,5
"S. Bangarappa",1,8
"S. C. Jamir",5,4
"S. C. Marak",2,7
"S. M. Krishna",1,8
"S. Nijalingappa",3,6
"S. R. Bommai",1,8
"S. R. Kanthi",1,8
"Sachindra Lal Singh",2,7
"Sadashiva Tripathy",1,8
"Sahib Singh Verma",1,8
"Sambhu Nath Shukla",1,8
"Samir Ranjan Barman",1,8
"Sampurnanand",2,7
"Samrat Choudhury",1,8
"Sanchaman Limboo",1,8
"Sarat Chandra Sinha",1,8
"Sarbananda Sonowal",1,8
"Satish Prasad Singh",1,8
"Satyendra Narayan Sinha",1,8
"Shankar Dayal Sharma",1,8
"Shankarrao Chavan",2,7
"Shankersinh Vaghela",1,8
"Shanta Kumar",2,7
"Sharad Pawar",4,5
"Shashikala Kakodkar",2,7
"Sheikh Abdullah",2,7
"Sheila Dikshit",3,6
"Shibu Soren",3,6
"Shiv Charan Mathur",2,7
"Shivajirao Patil Nilangekar",1,8
"Shivraj Singh Chauhan",4,5
"Shyama Charan Shukla",3,6
