"cm","Number_of_terms","Rank"
"Harcharan Singh Brar",1,8
"Haribhau Upadhyaya",1,8
"Harihar Singh",1,8
"Hira Lal Devpura",1,8
"Hukam Singh",1,8
"J. Dringbell Rymbai",1,8
"J. H. Patel",1,8
"Jagadish Shettar",1,8
"Jagannath Pahadia",1,8
"Jai Narayan Vyas",1,8
"Jai Ram Thakur",1,8
"Jalagam Vengala Rao",1,8
"Janaki Ramachandran",1,8
"Jarbom Gamlin",1,8
"Jitan Ram Manjhi",1,8
"Jogendra Nath Hazarika",1,8
"K. B. Sahay",1,8
"K. L. Chishi",1,8
"K. Rosaiah",1,8
"Kadilal Manjappa",1,8
"Kailash Chandra Joshi",1,8
"Kalikho Pul",1,8
"Kamal Nath",1,8
"Kamlapati Tripathi",1,8
"Kazi Lhendup Dorjee",1,8
"Kedar Pandey",1,8
"Kengal Hanumanthaiah",1,8
"Kesab Chandra Gogoi",1,8
"Lachhman Singh Gill",1,8
"Lalduhoma",1,8
"Laxmikant Parsekar",1,8
"Longjam Thambou Singh",1,8
"Luis Proto Barbosa",1,8
"M. Bakthavatsalam",1,8
"M. Veerappa Moily",1,8
"M.K.Stalin",1,8
"Madan Lal Khurana",1,8
"Madhu Koda",1,8
"Mahamaya Prasad Sinha",1,8
"Mahbooba Mufti",1,8
"Mahendra Mohan Choudhry",1,8
"Manik Saha",1,8
"Manohar Joshi",1,8
"Marotrao Kannamwar",1,8
"Mishrilal Gangwal",1,8
"Mohan Charan Majhi",1,8
"Mohan Yadav",1,8
"Morarji Desai",1,8
"Mukut Mithi",1,8
"N. Janardhana Reddy",1,8
"N. Kiran Kumar Reddy",1,8
"Nabakrushna Choudhury",1,8
"Nadendla Bhaskara Rao",1,8
"Narayan Datt Tiwari",1,8
"Narayan Rane",1,8
"Nilamani Routray",1,8
"Nityanand Swami",1,8
"P Govinda Menon",1,8
"P. A. Sangma",1,8
"P. K. Sawant",1,8
"P. K. Vasudevan Nair",1,8
"P. Shilu Ao",1,8
"P. V. Narasimha Rao",1,8
"Pattom A Thanu Pillai",1,8
"Pattom A. Thanu Pillai",1,8
"Prafulla Chandra Ghosh",1,8
"Prafulla Chandra Sen",1,8
"Prafulla Kumar Das",1,8
"Prem Khandu Thungan",1,8
"Prithviraj Chavan",1,8
"Pt. Ravishankar Shukla",1,8
"R. Gundu Rao",1,8
"R. Sankar",1,8
"R. V. Janakiraman",1,8
"RASIKLAL PARIKH",1,8
"Radhabinod Koijam",1,8
"Radhika Ranjan Gupta",1,8
"Raghubar Das",1,8
"Raja Nareshchandra Singh",1,8
"Rajendra Narayan Singh Deo",1,8
"Rajinder Kaur Bhattal",1,8
"Rajkumar Jaichandra Singh",1,8
"Rajkumar Ranbir Singh",1,8
"Rajnath Singh",1,8
"Ram Kishan",1,8
"Ram Naresh Yadav",1,8
"Ram Prakash Gupta",1,8
"Ram Sundar Das",1,8
"Ramesh Pokhriyal",1,8
"Rao Birender Singh",1,8
"Rekha Gupta",1,8
"Revanth Reddy",1,8
"S. Bangarappa",1,8
"S. M. Krishna",1,8
"S. R. Bommai",1,8
"S. R. Kanthi",1,8
"Sadashiva Tripathy",1,8
"Sahib Singh Verma",1,8
"Sambhu Nath Shukla",1,8
"Samir Ranjan Barman",1,8
"Samrat Choudhury",1,8
"Sanchaman Limboo",1,8
"Sarat Chandra Sinha",1,8
"Sarbananda Sonowal",1,8
"Satish Prasad Singh",1,8
"Satyendra Narayan Sinha",1,8
"Shankar Dayal Sharma",1,8
"Shankersinh Vaghela",1,8
"Shivajirao Patil Nilangekar",1,8
"Shürhozelie Liezietsu",1,8
"Siddhartha Shankar Ray",1,8
"Sripati Mishra",1,8
"Sucheta Kriplani",1,8
"Sudhakarrao Naik",1,8
"Sudhir Ranjan Majumdar",1,8
"Sukhamoy Sen Gupta",1,8
"Sukhvinder Singh Sukhu",1,8
"Suresh Mehta",1,8
"Surjit Singh Barnala",1,8
"Sushilkumar Shinde",1,8
"Sushma Swaraj",1,8
"Suvendu Adhikari",1,8
"Tanguturi Anjaiah",1,8
"Tanguturi Prakasam",1,8
"Thepfülo-u Nakhro",1,8
"Tika Ram Paliwal",1,8
"Tikhatmal Jain",1,8
"Tirath Singh Rawat",1,8
"Tomo Riba",1,8
"Tribhuvana Narayana Singh",1,8
"Trivendra Singh Rawat",1,8
"UN DHEBAR",1,8
"Uddhav Thackeray",1,8
"Uma Bharti",1,8
"V. Narayanasamy",1,8
"V. P. Singh",1,8
"V. S. Achuthanandan",1,8
"VD Satheesan",1,8
"Vamüzo Phesao",1,8
"Vijay Bahuguna",1,8
"Vir Bahadur Singh",1,8
"Virendra Kumar Saklecha",1,8
"Vishnu Deo Sai",1,8
"Wahengbam Nipamacha Singh",1,8
"Y Khemchand Singh",1,8
"Y. S. Jaganmohan Reddy",1,8
"Yashwantrao Chavan",1,8
"Zail Singh",1,8
