"decades","Median_age","Mean_age"
"1951-60",53.93,55.1906153846154
"1961-70",55.31,56.1349473684211
"1971-80",52.7,53.3446153846154
"1981-90",58.66,57.1456637168142
"1991-2000",56.51,57.8393137254902
"2001-10",57.96,58.8741935483871
"2011-20",61.435,60.2441489361702
"Post 2020",58.56,59.4298039215686
